Name, Processor, RAM, Operating System, Display, Price 
Dell Inspiron Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 3567 Notebook,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,43990,
Microsoft Surface Pro 4 Core i5 6th Gen - (4 GB/128 GB SSD/Windows 10 Pro) 1724 2 in 1 Laptop,Intel Core i5 Processor (6th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,12.3 Inch Touchscreen Display,60490,
Dell 5000 Core i7 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 5577 Gaming Lapto...,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,81490,
Dell Inspiron Core i3 6th Gen - (4 GB/1 TB HDD/Linux) 5559 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR3 RAM,Linux/Ubuntu Operating System,15.6 inch Display,29990,
Lenovo Ideapad Core i3 6th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) IP 320 Laptop,Intel Core i3 Processor (6th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,38990,
Asus Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) X541UA-DM1233T Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,29990,
Acer Pentium Quad Core - (4 GB/500 GB HDD/Windows 10 Home) One 14 Laptop,Intel Pentium Quad Core Processor,4 GB DDR3 RAM,Windows 10 Operating System,14 inch Display,21990,
Lenovo Ideapad 310 Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) IP 310-15IKB Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,42990,
Acer Predator Helios 300 Core i7 7th Gen - (16 GB/2 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics) G...,Intel Core i7 Processor (7th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,120990,
Acer Aspire Pentium Quad Core - (4 GB/1 TB HDD/Linux) ES1-533 Laptop,Intel Pentium Quad Core Processor,4 GB DDR3 RAM,Linux/Ubuntu Operating System,15.6 inch Display,20990,
Acer Aspire 3 Celeron Dual Core - (4 GB/500 GB HDD/Windows 10 Home) A315-31 Laptop,Intel Celeron Dual Core Processor,4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,20499,
Acer Core i5 7th Gen - (8 GB/1 TB HDD/Linux) E5 - 575 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,Linux/Ubuntu Operating System,15.6 inch Display,35990,
Dell Inspiron APU Dual Core E2 - (4 GB/500 GB HDD/Linux) 3565 Laptop,AMD APU Dual Core E2 Processor,4 GB DDR4 RAM,Linux/Ubuntu Operating System,15.6 inch Display,20990,
Microsoft Surface Pro 4 Core m3 6th Gen - (4 GB/128 GB SSD/Windows 10 Home) 1724 2 in 1 Laptop,Intel Core m3 Processor (6th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,12.3 inch Touchscreen Display,49990,
Acer Aspire VX Core i7 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) VX 15 Gaming...,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,87999,
