Name, Processor, RAM, Operating System, Display, Price 
Asus Zenbook Flip Series Core i7 7th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX360UAK-DQ210T Thin and ...,Intel Core i7 Processor (7th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,13.3 inch Touchscreen Display,97900,
Acer Swift 3 Core i3 6th Gen - (4 GB/128 GB SSD/Linux) SF314-51 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,Linux/Ubuntu Operating System,14 inch Display,34990,
HP Core M 6th Gen - (4 GB/128 GB SSD/Windows 10 Pro) X2 2 in 1 Laptop,Intel Core M Processor (6th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,12 inch Touchscreen Display,69990,
Micromax Canvas Laptab II (WIFI) Atom Quad Core 4th Gen - (2 GB/32 GB EMMC Storage/Windows 10 Home) LT...,Intel Atom Quad Core Processor (4th Gen),2 GB DDR3 RAM,32 bit Windows 10 Operating System,11.6 inch Touchscreen Display,18999,
Lenovo Ideapad 110 Pentium Quad Core 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 80T700FQIH Laptop,Intel Pentium Quad Core Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,28890,
Lenovo Ideapad 320S Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home/512 MB Graphics) 80X400CKIN Thin ...,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,38990,
Reach 14 Core i5 4th Gen - (8 GB/1 TB HDD/1 TB SSD/DOS) Quanto+ Laptop,Intel Core i5 Processor (4th Gen),8 GB DDR3 RAM,64 bit DOS Operating System,13.3 inch Display,29999,
HP 240 Core i3 5th Gen - (4 GB/500 GB HDD/DOS) 240G4 Laptop,Intel Core i3 Processor (5th Gen),4 GB DDR3 RAM,64 bit DOS Operating System,14 inch Display,30399,
Lenovo G50-80 Core i3 5th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) G50-80 Laptop,Intel Core i3 Processor (5th Gen),8 GB RAM,64 bit Windows 10 Operating System,15.6 inch Display,37970,
HP ProBook Core i5 7th Gen - (4 GB/500 GB HDD/DOS) 440 Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,DOS Operating System,14 inch Display,55980,
HP Imprint Celeron Dual Core - (4 GB/500 GB HDD/DOS) 15-BS549TU Laptop,Intel Celeron Dual Core Processor,4 GB DDR3 RAM,DOS Operating System,15.6 inch Display,23048,
HP Core i3 5th Gen - (4 GB/1 TB HDD/Windows 10 Home) 14-AC108TU Laptop,Intel Core i3 Processor (5th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,14 inch Display,34000,
venturer Atom Quad Core 2nd Gen - (2 GB/32 GB HDD/32 GB SSD/32 GB EMMC Storage/Windows 10/2 GB Graphic...,Intel Atom Quad Core Processor (2nd Gen),2 GB DDR3 RAM,32 bit Windows 10 Operating System,10.1 inch Touchscreen Display,12999,
Dell Pentium Quad Core - (4 GB/500 GB HDD/DOS) 3552 Laptop,Intel Pentium Quad Core Processor,4 GB DDR3 RAM,DOS Operating System,15.6 inch Display,23990,
Lenovo Ideapad 320 Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 80XH01MHIH Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,30490,
Venturer Quad Atom Quad Core 2nd Gen - (2 GB/32 GB HDD/32 GB SSD/32 GB EMMC Storage/Windows 10/2 GB Gr...,Intel Atom Quad Core Processor (2nd Gen),2 GB DDR3 RAM,32 bit Windows 10 Operating System,10.1 inch Touchscreen Display,12999,
Dell Inspiron 5000 Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 5567 Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,58990,
Lenovo Ideapad 320-15ISKU Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 80XH01MJIH Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,30490,
HP Core i5 6th Gen - (4 GB/500 GB HDD/DOS) 240 G5 Laptop,Intel Core i5 Processor (6th Gen),4 GB DDR4 RAM,DOS Operating System,14 inch Display,44890,
Acer Aspire 5 Core i5 8th Gen - (4 GB/1 TB HDD/Windows 10 Home) A515-51G Laptop,Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,42999,
HP Pavilion Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 15-AU624TX Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,56990,
HP OMEN Core i7 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 15-ax252TX Gaming L...,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,99990,
Acer Aspire Celeron Dual Core - (2 GB/500 GB HDD/Linux) ES1-533-C1SX Laptop,Intel Celeron Dual Core Processor,2 GB DDR3 RAM,Linux/Ubuntu Operating System,15.6 inch Display,18990,
HP APU Dual Core A4 - (4 GB/500 GB HDD/Windows 10 Home) 245 G5 Laptop,AMD APU Dual Core A4 Processor,4 GB DDR3 RAM,64 bit Windows 10 Operating System,14 inch Display,40199,
Acer Aspire Core i3 6th Gen - (4 GB/1 TB HDD/Linux/2 GB Graphics) E5-575G Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,Linux/Ubuntu Operating System,15.6 inch Display,33999,
Asus FX Series Core i7 7th Gen - (8 GB/1 TB HDD/Linux/2 GB Graphics) FX553VD Gaming Laptop,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Linux/Ubuntu Operating System,15.6 inch Display,72999,
Acer Core i5 6th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) F5-572G Laptop,Intel Core i5 Processor (6th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,43990,
Lenovo Ideapad Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 310 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,29650,
HP Spectre x360 Core i7 7th Gen - (16 GB/512 GB SSD/Windows 10 Pro) 13–ac059TU 2 in 1 Laptop,Intel Core i7 Processor (7th Gen),16 GB DDR3 RAM,64 bit Windows 10 Operating System,13.3 inch Touchscreen Display,159990,
Asus X-SERIES Core i3 6th Gen - (4 GB/1 TB HDD/DOS) X541UV-DM846D Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,29999,
HP Omen Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 15-ce071TX Gaming L...,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,97990,
MSI GL Core i7 7th Gen - (8 GB/1 TB HDD/DOS/4 GB Graphics) GL62M 7RDX Gaming Laptop,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,DOS Operating System,15.6 inch Display,79990,
Asus R-SERIES Core i5 7th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) R558UQ-DM542D Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,45490,
Asus A555LF Core i3 5th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) A555LF-XX257T Laptop,Intel Core i3 Processor (5th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,33990,
Asus X Series Core i3 5th Gen - (4 GB/1 TB HDD/Windows 10 Home) X540LA-XX596T Laptop,Intel Core i3 Processor (5th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,32990,
Lenovo B50-80 Core i3 5th Gen - (4 GB/500 GB HDD/Linux) B5080 Laptop,Intel Core i3 Processor (5th Gen),4 GB DDR3 RAM,64 bit Linux/Ubuntu Operating System,15.6 inch Display,32990,
Lenovo IP Pentium Quad Core 4th Gen - (4 GB/1 TB HDD/DOS) IdeaPad 110 Laptop,Intel Pentium Quad Core Processor (4th Gen),4 GB DDR3 RAM,64 bit DOS Operating System,15.6 inch Display,26990,
Lenovo Core i7 7th Gen - (8 GB/256 GB SSD/Windows 10 Home/2 GB Graphics) Yoga 710 2 in 1 Laptop,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,14 inch Touchscreen Display,97990,
Dell Inspiron 5000 Core i5 6th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 5559 Laptop,Intel Core i5 Processor (6th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,60000,
Dell 5000 Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 5368 2 in 1 Laptop,Intel Core i3 Processor (6th Gen),4 GB RAM,64 bit Windows 10 Operating System,13.3 inch Touchscreen Display,53500,
Dell Inspiron 5000 Core i5 7th Gen - (8 GB/2 TB HDD/Windows 10 Home/2 GB Graphics) 5567 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,61500,
Iball Atom Quad Core - (2 GB/32 GB EMMC Storage/Windows 10 Home) WQ191C 2 in 1 Laptop,Intel Atom Quad Core Processor,2 GB DDR3 RAM,32 bit Windows 10 Operating System,10.1 inch Touchscreen Display,12000,
Dell 5000 Core i5 6th Gen - (8 GB/1 TB HDD/Windows 10 Home) 5568 2 in 1 Laptop,Intel Core i5 Processor (6th Gen),8 GB RAM,64 bit Windows 10 Operating System,15.6 inch Touchscreen Display,71990,
Acer F5 Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10/2 GB Graphics) F5-573G Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,44499,
Dell Inspiron 5000 Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 5567 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,62000,
Lenovo Yoga 500 Core i5 5th Gen - (4 GB/500 GB HDD/Windows 8 Pro) 500 2 in 1 Laptop,Intel Core i5 Processor (5th Gen),4 GB DDR3 RAM,64 bit Windows 8 Operating System,14 inch Touchscreen Display,60390,
Asus X Series Core i3 7th Gen - (4 GB/1 TB HDD/DOS) X541UA-DM1358D Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,27990,
Acer ES 11 Celeron Dual Core 4th Gen - (2 GB/500 GB HDD/Windows 10 Home) ES1-131 Laptop,Intel Celeron Dual Core Processor (4th Gen),2 GB DDR3 RAM,64 bit Windows 10 Operating System,11.6 inch Display,18690,
MSI GP Core i7 7th Gen - (16 GB/1 TB HDD/128 GB SSD/Windows 10 Home/6 GB Graphics) GP62MVR 7RFX Gaming...,Intel Core i7 Processor (7th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,129990,
Asus X Series Core i3 7th Gen - (4 GB/1 TB HDD/DOS) X541UA-DM1232D Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,28090,
Asus VivoBook S Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) S510UN-BQ217T Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,59999,
Dell Inspiron 5000 Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 5567 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,64640,
Dell Inspiron Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 5559 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,34790,
Dell Inspiron Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 3567 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,31000,
Asus R558UQ Core i5 7th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) DM513D Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,45649,
Dell 3000 Core i3 6th Gen - (4 GB/1 TB HDD/Ubuntu) 3568 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit Linux/Ubuntu Operating System,15.6 inch Display,29890,
Asus Vivobook Max Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) X541UA-DM1232T Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,33678,
Fujitsu Lifebook Core i3 5th Gen - (8 GB/500 GB HDD/DOS) Lifebook A555 Laptop,Intel Core i3 Processor (5th Gen),8 GB DDR3 RAM,64 bit DOS Operating System,15.6 inch Display,27000,
Asus X SERIES Core i3 6th Gen - (4 GB/1 TB HDD/DOS) X541UA-DM883D Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,30796,
Asus VivoBook S Core i7 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/2 GB Graphics) S510UN-BQ13...,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,86990,
Asus Vivobook Max Core i3 7th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) A541UV-DM978 Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,34650,
Asus VivoBook Max Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) A541UV-DM978T Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,36990,
Asus Vivobook Max Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10) X541UA-DM1358T Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,33540,
Asus R Series Core i5 7th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) R558UQ-DM1286D Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,48990,
Lenovo Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 510 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,59450,
MSI G Series Core i7 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) GL62M Gaming Laptop,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,82900,
Acer Gateway Core i3 5th Gen - (4 GB/1 TB HDD/Linux) NE571-38U7 Laptop,Intel Core i3 Processor (5th Gen),4 GB DDR3 RAM,Linux/Ubuntu Operating System,15.6 inch Display,26999,
HP Pavilion Core i5 7th Gen - (16 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) 15-AU626TX Laptop,Intel Core i5 Processor (7th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,70990,
HP Core i3 5th Gen - (4 GB/1 TB HDD/Windows 10 Home) 14-ar002TU Laptop,Intel Core i3 Processor (5th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,14 inch Display,34990,
HP ProBook Core i3 7th Gen - (4 GB/500 GB HDD/Windows 10 Pro) 440 Business Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,14 inch Display,58500,
Asus X555LA-XX172D Notebook (Core i3 4th Gen/ 4GB/ 500GB/ Free Dos) (9ONB0652-MO7120),Intel Core i3 Processor (4th Gen),4 GB DDR3 RAM,64 bit DOS Operating System,15.6 inch Display,28483,
Iball Compbook Celeron Dual Core 7th Gen - (3 GB/32 GB EMMC Storage/Windows 10) Marvel 6 Laptop,Intel Celeron Dual Core Processor (7th Gen),3 GB DDR3 RAM,64 bit Windows 10 Operating System,14 inch Display,14300,
Iball C Series Atom - (2 GB/32 GB EMMC Storage/Windows 10) Compbook Laptop,Intel Atom Processor,2 GB DDR3 RAM,32 bit Windows 10 Operating System,11.6 inch Display,11999,
HP Core i5 6th Gen - (4 GB/1 TB HDD/DOS) 15-ay084tu Laptop,Intel Core i5 Processor (6th Gen),4 GB DDR4 RAM,DOS Operating System,15.6 inch Display,38490,
HP Pavilion Core i5 6th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 15-au006TX Laptop,Intel Core i5 Processor (6th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,56970,
HP Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15-ay544TU Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,36490,
Dell 3000 APU Quad Core E2 6th Gen - (4 GB/500 GB HDD/Windows 10 Home) 3555 Laptop,AMD APU Quad Core E2 Processor (6th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,26500,
Dell 5000 Core i7 7th Gen - (16 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 5567 Laptop,Intel Core i7 Processor (7th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Touchscreen Display,74999,
Acer Aspire APU Dual Core E1 7th Gen - (4 GB/500 GB HDD/Windows 10 Home) ASPIRE ES1 Laptop,AMD APU Dual Core E1 Processor (7th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,21299,
HP Pavillion Core i5 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15-AY554TU Laptop,Intel Core i5 Processor (6th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,41490,
Lenovo 310 Core i5 6th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) IP 310 Laptop,Intel Core i5 Processor (6th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,45980,
Lava Helium Atom Quad Core 7th Gen - (2 GB/32 GB EMMC Storage/Windows 10 Home) C121 Laptop,Intel Atom Quad Core Processor (7th Gen),2 GB DDR3 RAM,64 bit Windows 10 Operating System,12.5 inch Display,12999,
Lava Helium Atom Quad Core 7th Gen - (2 GB/32 GB EMMC Storage/Windows 10 Home) C121 Thin and Light Lap...,Intel Atom Quad Core Processor (7th Gen),2 GB DDR3 RAM,64 bit Windows 10 Operating System,12.5 inch Display,12999,
Dell Inspiron 5000 Core i7 7th Gen - (16 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) 5567 Laptop,Intel Core i7 Processor (7th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,89490,
Dell 5000 Core i7 7th Gen - (8 GB/256 GB SSD/256 GB EMMC Storage/Windows 10) 5378 2 in 1 Laptop,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,13.3 inch Touchscreen Display,73499,
HP Imprint Celeron Dual Core - (4 GB/500 GB HDD/Windows 10 Home) 15-BS548TU Laptop,Intel Celeron Dual Core Processor,4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,23875,
Acer ES 11 Celeron Dual Core 4th Gen - (2 GB/500 GB HDD/Windows 10 Home) ES1-132 Laptop,Intel Celeron Dual Core Processor (4th Gen),2 GB DDR3 RAM,64 bit Windows 10 Operating System,11.6 inch Display,18390,
Dell Inspiron Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 3567 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,30489,
Asus VivoBook S Core i7 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) S510UN-BQ052T Laptop,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,69960,
Asus Core i3 6th Gen - (4 GB/1 TB HDD/DOS) X541UA-GO1345D Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,DOS Operating System,15.6 inch Display,27299,
Asus X Series Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) X541UA-DM1232T Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,31990,
HP Atom Quad Core - (4 GB/64 GB EMMC Storage/Windows 10 Home) x2 210 2 in 1 Laptop,Intel Atom Quad Core Processor,4 GB DDR3 RAM,64 bit Windows 10 Operating System,10.1 inch Touchscreen Display,30610,
Asus Vivoboov S15 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10/2 GB Graphics) S510UN-BQ122T Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,61990,
Dell XPS 13 Core i5 6th Gen - (8 GB/256 GB SSD/Windows 10 Home) XPS 13 Thin and Light Laptop,Intel Core i5 Processor (6th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,13.3 inch Touchscreen Display,114990,
Lenovo Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 510 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,59000,
HP Core i5 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15-AY503TU Laptop,Intel Core i5 Processor (6th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,41750,
MSI GS60 2PL Ghost Notebook (4th Gen Ci7/ 8GB/ 1TB/ Win8.1/ 2GB Graph),Intel Core i7 Processor (4th Gen),8 GB DDR3 RAM,64 bit Windows 8.1 Operating System,15.6 inch Display,109599,
HP ProBook Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10 Pro) 440 Business Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,14 inch Display,68500,
Dell Inspiron Core i7 6th Gen - (8 GB/1 TB HDD/8 GB SSD/Windows 10 Home/4 GB Graphics) 7559 Gaming Lap...,Intel Core i7 Processor (6th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,94500,
Apple Macbook Pro Core i7 - (16 GB/512 GB SSD/Mac OS Sierra/2 GB Graphics) MLH42HN/A,Intel Core i7 Processor,16 GB DDR3 RAM,64 bit Mac OS Operating System,15 inch Display,218990,
Dell XPS 12 Ultrabook (3rd Gen Ci7/ 8GB/ 256GB SSD/ Win8/ Touch),Intel Core i7 Processor (3rd Gen),8 GB DDR3 RAM,64 bit Windows 8 Operating System,12.38 inch Touchscreen Display,85000,
Iball Netbook Atom Quad Core - (2 GB/32 GB EMMC Storage/Windows 10 Home) CompBook Exemplaire Thin and ...,Intel Atom Quad Core Processor,2 GB DDR3 RAM,64 bit Windows 10 Operating System,14 inch Display,13800,
Asus X Series Core i3 7th Gen - (4 GB/1 TB HDD/DOS) X541UA-DM1232D Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,28090,
Asus Core i5 6th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) X541UV-XO029D Laptop,Intel Core i5 Processor (6th Gen),4 GB DDR4 RAM,DOS Operating System,15.6 inch Display,36490,
Asus R Core i7 7th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) R558UQ-DM1106DR558U Laptop,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,56990,
Asus VivoBook S Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) S510UN-BQ217T Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,59999,
Dell Inspiron 5000 Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 5567 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,64640,
Dell Inspiron Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 5559 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,34790,
Dell Inspiron Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 3567 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,31000,
Asus R558UQ Core i5 7th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) DM513D Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,45649,
Dell 3000 Core i3 6th Gen - (4 GB/1 TB HDD/Ubuntu) 3568 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit Linux/Ubuntu Operating System,15.6 inch Display,29890,
Asus Vivobook Max Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) X541UA-DM1232T Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,33678,
HP Core i5 5th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15-ac123tx Laptop,Intel Core i5 Processor (5th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,43790,
Asus X SERIES Core i3 6th Gen - (4 GB/1 TB HDD/DOS) X541UA-DM883D Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,30796,
Fujitsu Lifebook Core i3 5th Gen - (8 GB/500 GB HDD/DOS) Lifebook A555 Laptop,Intel Core i3 Processor (5th Gen),8 GB DDR3 RAM,64 bit DOS Operating System,15.6 inch Display,27000,
Asus VivoBook S Core i7 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/2 GB Graphics) S510UN-BQ13...,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,86990,
Asus Vivobook Max Core i3 7th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) A541UV-DM978 Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit DOS Operating System,15.6 inch Display,34650,
Asus VivoBook Max Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) A541UV-DM978T Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,36990,
Asus Vivobook Max Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10) X541UA-DM1358T Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,33540,
Asus Vivobook S15 Core i7 8th Gen - (8 GB/1 TB HDD/Windows 10/2 GB Graphics) S510UN-BQ151T Laptop,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,69990,
