Brand, Processor, RAM, OS , Display, Touch, Price 
Dell,IntelCorei3,4,Linux/UbuntuOperatingSystem,15.6,0,33290
Acer,IntelCeleronDual,2,64bitWindows,11.6,0,18690
Acer,IntelCorei3,4,Linux/UbuntuOperatingSystem,15.6,0,26999
HP,IntelCorei7,8,64bitWindows,14,1,82990
HP,IntelCorei5,8,64bitWindows,14,1,72290
Asus,IntelCorei7,8,64bitWindows,15.6,0,74990
Dell,IntelCorei5,8,64bitWindows,15.6,0,63990
HP,IntelCorei7,8,64bitWindows,14,0,82990
HP,IntelCorei7,8,64bitWindows,15.6,0,66990
MSI,IntelCorei7,16,64bitWindows,15.6,0,119990
HP,IntelCorei3,4,DOSOperatingSystem,14,0,29690
Lenovo,IntelAtomQuad,4,64bitWindows,10.1,1,49990
MSI,IntelCorei7,4,DOSOperatingSystem,15.6,0,53990
Asus,IntelCorei7,8,EndlessOperatingSystem,15.6,0,69990
Acer,AMDAPUQuad,4,64bitWindows,15.6,0,33790
HP,IntelCorei5,4,64bitWindows,13.3,1,66938
Lenovo,IntelCorei7,8,64bitWindows,15.6,0,58990
Acer,IntelCorei5,8,64bitWindows,15.6,1,74990
Dell,IntelPentiumQuad,4,64bitWindows,11.6,1,32990
Dell,IntelCorei3,4,64bitWindows,13.3,1,56990
Acer,AMDAPUQuad,4,64bitWindows,15.6,0,21990
Acer,IntelCorei3,4,64bitLinux/Ubuntu,15.6,0,26790
Lava,IntelAtomQuad,2,64bitWindows,12.5,0,12999
Asus,IntelCorei7,8,64bitWindows,13.3,1,97900
Acer,IntelCorei3,4,Linux/UbuntuOperatingSystem,14,0,34990
HP,IntelCoreM,4,64bitWindows,12,1,69990
Micromax,IntelAtomQuad,2,32bitWindows,11.6,1,18999
Lenovo,IntelPentiumQuad,4,64bitWindows,15.6,0,28890
Lenovo,IntelCorei3,4,64bitWindows,15.6,0,38990
Reach,IntelCorei5,8,64bitDOS,13.3,0,29999
HP,IntelCorei3,4,64bitDOS,14,0,30399
Lenovo,IntelCorei3,8,64bitWindows,15.6,0,37970
HP,IntelCorei5,4,DOSOperatingSystem,14,0,55980
HP,IntelCeleronDual,4,DOSOperatingSystem,15.6,0,23048
HP,IntelCorei3,4,64bitWindows,14,0,34000
venturer,IntelAtomQuad,2,32bitWindows,10.1,1,12999
Dell,IntelPentiumQuad,4,DOSOperatingSystem,15.6,0,23990
Lenovo,IntelCorei3,4,64bitDOS,15.6,0,30490
Venturer,IntelAtomQuad,2,32bitWindows,10.1,1,12999
Dell,IntelCorei5,4,64bitWindows,15.6,0,58990
Lenovo,IntelCorei3,4,64bitDOS,15.6,0,30490
HP,IntelCorei5,4,DOSOperatingSystem,14,0,44890
Acer,IntelCorei5,4,64bitWindows,15.6,0,42999
HP,IntelCorei5,4,64bitWindows,15.6,0,56990
HP,IntelCorei7,8,64bitWindows,15.6,0,99990
